"#","Reference","Qty","Value","Description","Footprint","Exclude from BOM"
"1","AFF1,AFF2,AFF3,AFF4","4","5161BS","DISPLAY 7 SEGMENTS common A.","Display_7Segment:7SegmentLED_LTS6760_LTS6780",""
"2","C1,C2","2","C0603C104K5RAC9109","Unpolarized capacitor, small symbol","Capacitor_SMD:C_0603_1608Metric",""
"3","D1,D2","2","LED","Light emitting diode","LED_THT:LED_D3.0mm",""
"4","F1","1","37212500001","Fuse","Fuse:Fuseholder_TR5_Littelfuse_No560_No460",""
"5","H1,H2,H3,H4","4","MountingHole","Mounting Hole without connection","MountingHole:MountingHole_3.2mm_M3","Excluded from BOM"
"6","J1","1","Conn_01x06_Pin","Generic connector, single row, 01x06, script generated","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"7","J2","1","Screw_Terminal_01x02","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","TerminalBlock_Ningbo-Kagnex:TerminalBlock_Ningbo-Kagnex_HB9500M_1x02_P9.5mm",""
"8","J4","1","OKY0270","Generic connector, single row, 01x03, script generated","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"9","J5","1","AHT10","Generic connector, single row, 01x04, script generated","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"10","JP1","1","SolderJumper_3_Open","Solder Jumper, 3-pole, open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","Excluded from BOM"
"11","PS1","1","IRM-10-5","5V, 2A, 10W, Isolated, AC-DC, 222A(IRM10)","Mis_Componentes_Reloj:Converter_ACDC_MeanWell_IRM-10-xx_THT",""
"12","R1","1","RMS-120E","Resistor, small symbol","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"13","R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33","32","RMS-330E","Resistor, small symbol","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"14","U1,U2,U3,U4","4","74HCT595","8-bit serial in/out Shift Register 3-State Outputs","Package_SO:SOIC-16W_5.3x10.2mm_P1.27mm",""
"15","U5","1","ESP32-C3_SUPERMINI","","Mis_Componentes_Reloj:MODULE_ESP32-C3_SUPERMINI_TH",""
"16","U6","1","OKY9016 - DS3231","DS321, OKY9016, RTC module","Mis_Componentes_Reloj:OKY9016-DS3231",""
